analysis_family,arm_dir,computed_count_n,counts_match,has_answer_text,has_stated_confidence,include_status,metrics_count_n,prompt_contract,result_dir,row_count,schema_keys
amendment_a,sft_dpo__coconot,379,true,false,false,include,379,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,379,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_kto__coconot,379,true,false,false,include,379,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,379,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_merged__coconot,379,true,false,false,include,379,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,379,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_dpo__kuq,384,true,false,false,include,384,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,384,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_kto__kuq,384,true,false,false,include,384,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,384,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_merged__kuq,384,true,false,false,include,384,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,384,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_dpo__popqa,256,true,false,false,include,256,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,256,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_kto__popqa,256,true,false,false,include,256,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,256,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_merged__popqa,256,true,false,false,include,256,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,256,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_dpo__selfaware,3369,true,false,false,include,3369,plain_answer,archive/experiment/phase1/eval/results_amendment_a_selfaware_full_local_4b,3369,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_kto__selfaware,3369,true,false,false,include,3369,plain_answer,archive/experiment/phase1/eval/results_amendment_a_selfaware_full_local_4b,3369,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_merged__selfaware,3369,true,false,false,include,3369,plain_answer,archive/experiment/phase1/eval/results_amendment_a_selfaware_full_local_4b,3369,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_dpo__truthfulqa,256,true,false,false,include,256,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,256,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
amendment_a,sft_kto__truthfulqa,256,true,false,false,include,256,plain_answer,archive/experiment/phase1/eval/results_amendment_a_broader_ood_local_4b,256,arm|config_sha|correct|eval_set|generated_answer|id|label|method|model|question|refused|row_index|source|truthful
